rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,60.0,100,8.9,176.8,167.9
2,,,,50.0,100,60.0,100,4.2,176.8,172.60000000000002
3,,,,50.0,100,60.0,100,6.1,179.1,173.0
4,,,,50.0,100,60.0,100,5.1,179.6,174.5
5,,,,50.0,100,60.0,100,7.8,179.6,171.79999999999998
6,,,,50.0,100,60.0,100,3.9,178.8,174.9
7,,,,50.0,100,60.0,100,4.8,180.0,175.2
8,,,,50.0,100,60.0,100,4.0,179.8,175.8
9,,,,50.0,100,60.0,100,7.1,179.6,172.5
10,,,,50.0,100,60.0,100,4.7,178.9,174.20000000000002
11,,,,50.0,100,60.0,100,7.2,178.5,171.3
12,,,,50.0,100,60.0,100,5.4,179.9,174.5
13,,,,50.0,100,60.0,100,8.1,178.9,170.8
14,,,,50.0,100,60.0,100,5.4,179.5,174.1
15,,,,50.0,100,60.0,100,4.2,179.7,175.5
16,,,,50.0,100,60.0,100,5.0,179.1,174.1
17,,,,50.0,100,60.0,100,7.9,178.6,170.7
18,,,,50.0,100,60.0,70.0,8.7,178.4,169.70000000000002
19,,,,50.0,100,60.0,100,8.1,180.0,171.9
20,,,,50.0,100,60.0,100,4.0,180.0,176.0
21,,,,50.0,100,60.0,100,5.2,179.9,174.70000000000002
22,,,,50.0,100,60.0,100,5.9,180.0,174.1
23,,,,50.0,100,60.0,100,5.4,180.0,174.6
24,,,,50.0,100,60.0,70.0,10.7,179.7,169.0
0,,,,,,,,,,
