rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767278185.143191,,,,50.0,100,60.0,100,8.9,178.9,170.0
2,1767278191.19711,,,,50.0,100,73.4,100,4.7,176.3,171.60000000000002
3,1767278196.334456,,,,50.0,100,74.0,100,1.7,177.9,176.20000000000002
4,1767278202.256595,,,,50.0,100,60.0,100,,174.6,
5,1767278206.517156,,,,50.0,100,75.0,100,2.3,173.2,170.89999999999998
6,1767278209.737362,,,,50.0,100,74.6,100,1.6,173.4,171.8
7,1767278213.24917,,,,50.0,100,74.7,100,1.3,174.1,172.79999999999998
8,1767278217.512227,,,,50.0,100,71.7,70.0,1.1,173.1,172.0
9,1767278227.710027,,,,50.0,100,71.4,70.0,3.2,178.7,175.5
10,1767278231.412739,,,,50.0,100,70.7,100,1.2,175.6,174.4
11,1767278235.741078,,,,50.0,100,71.9,100,3.0,178.7,175.7
12,1767278239.273855,,,,50.0,100,72.3,100,1.5,176.4,174.9
13,1767278242.717638,,,,50.0,100,71.3,100,2.3,176.1,173.79999999999998
14,1767278246.068367,,,,50.0,100,72.5,100,5.7,174.6,168.9
15,1767278249.406216,,,,50.0,100,71.6,100,3.0,174.4,171.4
16,1767278252.725918,,,,50.0,100,70.5,100,2.7,176.1,173.4
17,1767278262.447475,,,,50.0,100,74.2,70.0,6.9,178.1,171.2
18,1767278266.020886,,,,50.0,100,72.4,70.0,6.6,173.3,166.70000000000002
19,1767278269.458424,,,,50.0,100,72.3,70.0,8.1,174.5,166.4
20,1767278272.803957,,,,50.0,100,72.9,70.0,7.8,174.4,166.6
21,1767278276.131891,,,,50.0,100,71.3,70.0,5.7,174.0,168.3
22,1767278279.503336,,,,50.0,100,70.8,70.0,4.9,176.0,171.1
23,1767278282.895628,,,,50.0,100,71.6,100,7.0,175.5,168.5
24,1767278286.348029,,,,50.0,100,71.3,100,6.3,174.2,167.89999999999998
0,1767278289.541775,,,,,,,,,,
