rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
69,1767370323.429548,,,,60.0,100,65.0,70.0,25.1,149.2,124.1
70,1767370324.571026,,,,60.0,100,65.0,70.0,24.6,147.7,123.1
71,1767370325.689873,,,,60.0,100,65.0,70.0,25.4,146.5,121.1
72,1767370326.831066,,,,60.0,100,65.0,70.0,26.1,146.8,120.70000000000002
73,1767370327.989614,,,,60.0,100,65.0,70.0,24.9,145.1,120.19999999999999
74,1767370329.130511,,,,60.0,100,65.0,100,23.6,146.6,123.0
75,1767370330.331927,,,,60.0,100,65.0,100,21.7,147.7,125.99999999999999
76,1767370331.463489,,,,60.0,100,65.0,70.0,22.1,146.3,124.20000000000002
77,1767370332.563769,,,,60.0,100,65.0,70.0,23.1,147.7,124.6
78,1767370333.815225,,,,60.0,100,65.0,100,22.0,146.2,124.19999999999999
79,1767370334.993399,,,,60.0,100,65.0,100,25.2,148.6,123.39999999999999
80,1767370336.134228,,,,60.0,100,65.0,70.0,30.6,150.8,120.20000000000002
81,1767370337.295456,,,,60.0,100,65.0,70.0,31.4,148.8,117.4
82,1767370338.446338,,,,60.0,100,65.0,70.0,26.6,149.4,122.80000000000001
83,1767370339.62496,,,,60.0,100,65.0,70.0,26.4,150.8,124.4
84,1767370340.752294,,,,60.0,100,65.0,70.0,24.5,150.3,125.80000000000001
85,1767370341.832983,,,,60.0,100,65.0,70.0,28.9,148.6,119.69999999999999
86,1767370342.956928,,,,60.0,100,65.0,70.0,28.0,148.4,120.4
87,1767370344.122718,,,,60.0,100,65.0,70.0,27.1,148.9,121.80000000000001
88,1767370345.29541,,,,60.0,100,65.0,70.0,27.1,148.1,121.0
89,1767370346.434361,,,,60.0,100,65.0,70.0,30.5,151.6,121.1
90,1767370347.63894,,,,60.0,100,65.0,70.0,31.3,151.1,119.8
91,1767370348.740874,,,,60.0,100,65.0,70.0,28.8,147.4,118.60000000000001
92,1767370349.870381,,,,60.0,100,65.0,70.0,30.0,151.8,121.80000000000001
93,1767370351.005085,,,,60.0,100,65.0,70.0,28.9,149.2,120.29999999999998
94,1767370352.159492,,,,60.0,100,65.0,70.0,30.4,153.3,122.9
95,1767370353.387777,,,,60.0,100,65.0,70.0,25.9,151.8,125.9
96,1767370354.564895,,,,60.0,100,65.0,70.0,28.2,152.5,124.3
97,1767370355.774379,,,,60.0,100,65.0,100,25.8,154.9,129.1
98,1767370356.906286,,,,60.0,100,65.0,100,24.5,153.3,128.8
99,1767370358.10802,,,,60.0,100,65.0,100,26.6,151.7,125.1
100,1767370359.338836,,,,60.0,100,65.0,100,22.5,151.0,128.5
0,1767370359.730477,,,,,,,,,,
