rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767380389.701471,90.0,True,,100,100,60.0,100,95.1,170.4,75.30000000000001
2,1767380392.38032,90.0,True,,100,100,60.0,100,80.9,174.6,93.69999999999999
3,1767380394.76086,,,,100,40.0,60.0,100,81.6,177.3,95.70000000000002
4,1767380397.240046,,,,100,40.0,60.0,100,56.4,178.7,122.29999999999998
5,1767380399.8784,90.0,True,,100,100,60.0,100,77.0,173.1,96.1
6,1767380403.119151,,,,100,40.0,60.0,100,77.0,175.0,98.0
7,1767380405.517584,,,,100,40.0,60.0,100,81.1,174.8,93.70000000000002
8,1767380408.207597,,,,100,40.0,60.0,100,69.1,173.2,104.1
9,1767380410.703224,90.0,True,,100,100,60.0,100,65.4,173.6,108.19999999999999
10,1767380413.831882,90.0,True,,100,100,60.0,100,82.8,174.7,91.89999999999999
11,1767380416.340031,,,,75.0,100,60.0,100,77.1,174.1,97.0
12,1767380418.845662,,,,100,40.0,60.0,100,70.2,179.5,109.3
13,1767380421.434114,,,,100,40.0,60.0,100,82.6,179.4,96.80000000000001
14,1767380424.379897,90.0,True,,100,100,60.0,100,68.3,174.0,105.7
15,1767380454.004093,90.0,True,,100,100,60.0,100,0.8,180.0,179.2
0,1767380456.691004,,,,,,,,,,
