rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,51.9,100,73.5,100,8.2,179.6,171.4
2,,,,56.5,100,74.4,100,9.6,180.0,170.4
3,,,,53.3,100,74.0,100,8.2,180.0,171.8
4,,,,54.0,100,73.9,100,7.4,179.8,172.4
5,,,,53.9,100,73.3,100,6.7,180.0,173.3
6,,,,51.3,100,74.0,100,8.5,179.6,171.1
7,,,,56.0,100,73.9,100,6.8,179.9,173.1
8,,,,56.8,100,73.3,100,6.6,180.0,173.4
9,,,,57.6,100,73.9,100,7.5,180.0,172.5
10,,,,55.4,100,73.4,100,5.4,179.4,174.0
11,,,,54.7,100,68.6,100,11.2,178.6,167.4
12,,,,55.2,100,68.3,100,10.7,179.9,169.20000000000002
13,,,,55.4,100,66.0,100,7.9,179.8,171.9
14,,,,52.6,100,66.6,100,8.4,179.9,171.5
15,,,,55.8,100,66.3,100,0.1,179.9,179.8
0,,,,,,,,,,
