rep_number,num_samples,timestamp
1,9,1767651571.8692
2,9,1767651573.13296
3,9,1767651574.505437
4,1,1767651575.854919
5,1,1767651577.364177
6,4,1767651578.801665
7,9,1767651580.222661
8,9,1767651581.652511
9,10,1767651583.153789
10,17,1767651585.170806
11,10,1767651586.785849
12,9,1767651588.256973
13,9,1767651589.730103
14,11,1767651591.304501
15,10,1767651592.852566
16,9,1767651594.397664
17,10,1767651595.968034
18,11,1767651597.647205
19,10,1767651599.28926
20,9,1767651600.894494
0,526,1767651563.349251
