rep_number,num_samples,timestamp
1,15,1767650134.053769
2,16,1767650136.224591
3,15,1767650138.209218
4,14,1767650140.074651
5,13,1767650141.916238
6,14,1767650143.789906
7,15,1767650145.679426
8,16,1767650147.598187
9,14,1767650149.43903
10,14,1767650151.320321
11,13,1767650153.175948
12,13,1767650155.04442
13,13,1767650156.802003
14,13,1767650158.547731
15,15,1767650160.316318
16,13,1767650161.862001
17,13,1767650163.432302
18,13,1767650165.085589
19,13,1767650166.770627
20,14,1767650168.573699
21,14,1767650170.24037
22,13,1767650171.922732
23,15,1767650173.638923
24,14,1767650175.343677
25,13,1767650177.096654
26,15,1767650178.793225
27,15,1767650180.602769
28,15,1767650182.425673
29,13,1767650184.130704
30,15,1767650185.875066
31,12,1767650187.609912
32,13,1767650189.288289
33,13,1767650191.031489
34,12,1767650192.750081
35,14,1767650194.485774
36,11,1767650196.151282
37,13,1767650197.858247
38,14,1767650199.593387
39,13,1767650201.233049
40,12,1767650202.88089
41,14,1767650204.52498
42,12,1767650206.212309
43,13,1767650207.850993
44,12,1767650209.624332
45,12,1767650211.304673
46,12,1767650213.005622
47,13,1767650214.649182
48,12,1767650216.285706
49,13,1767650218.018625
50,12,1767650219.709959
0,1441,1767650126.6655018
