rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,69.6,70.0,0.1,174.0,173.9
2,,,,50.0,100,72.9,70.0,0.4,177.3,176.9
3,,,,50.0,100,70.0,70.0,,177.1,
4,,,,50.0,100,70.5,70.0,0.1,179.5,179.4
5,,,,50.0,100,70.4,70.0,0.1,179.5,179.4
6,,,,50.0,100,70.6,70.0,0.3,176.9,176.6
7,,,,50.0,100,70.3,70.0,0.3,177.1,176.79999999999998
8,,,,50.0,100,70.7,70.0,0.1,177.0,176.9
9,,,,50.0,100,68.5,70.0,28.4,180.0,151.6
10,,,,50.0,100,68.6,70.0,27.8,169.1,141.29999999999998
11,,,,50.0,100,68.1,70.0,,179.1,
12,,,,50.0,100,63.0,70.0,,177.4,
13,,,,50.0,100,60.0,70.0,0.3,168.1,167.79999999999998
14,,,,50.0,100,60.0,70.0,,178.9,
15,,,,50.0,100,61.2,70.0,0.8,178.4,177.6
16,,,,55.7,100,60.0,100,11.6,179.8,168.20000000000002
17,,,,55.0,100,60.0,100,12.7,142.4,129.70000000000002
18,,,,55.4,100,60.0,100,12.2,142.6,130.4
19,,,,55.8,100,60.0,100,11.4,144.3,132.9
20,,,,50.0,100,65.9,70.0,1.7,179.9,178.20000000000002
21,,,,50.0,100,66.2,70.0,3.4,179.9,176.5
22,,,,50.0,100,65.2,70.0,1.7,180.0,178.3
23,,,,50.0,100,65.6,70.0,0.1,179.1,179.0
24,,,,50.0,100,66.1,70.0,0.1,178.1,178.0
25,,,,50.0,100,60.0,70.0,0.2,171.1,170.9
26,,,,50.0,100,60.0,70.0,0.4,171.8,171.4
27,,,,50.0,100,60.0,70.0,0.1,173.8,173.70000000000002
28,,,,50.0,100,60.0,70.0,,179.1,
29,,,,50.0,100,60.0,70.0,0.1,179.5,179.4
30,,,,50.0,100,60.0,70.0,0.1,178.6,178.5
31,,,,50.0,100,60.0,70.0,0.8,179.5,178.7
32,,,,50.0,100,60.0,70.0,0.1,179.0,178.9
33,,,,50.0,100,60.0,70.0,0.3,179.9,179.6
34,,,,50.0,100,60.0,70.0,0.6,179.9,179.3
35,,,,50.0,100,60.0,70.0,0.1,179.9,179.8
36,,,,50.0,100,60.0,70.0,0.3,179.4,179.1
37,,,,50.0,100,60.0,70.0,0.4,179.1,178.7
38,,,,50.0,100,60.0,70.0,12.4,178.0,165.6
39,,,,50.0,100,60.0,70.0,2.7,179.0,176.3
40,,,,50.0,100,60.0,70.0,,179.8,
41,,,,50.0,100,60.0,70.0,0.2,179.9,179.70000000000002
