Hip_X1,Hip_Y1,Hip_Z1,RHip_X2,RHip_Y2,RHip_Z2,RKnee_X3,RKnee_Y3,RKnee_Z3,RAnkle_X4,RAnkle_Y4,RAnkle_Z4,RBigToe_X5,RBigToe_Y5,RBigToe_Z5,RSmallToe_X6,RSmallToe_Y6,RSmallToe_Z6,RHeel_X7,RHeel_Y7,RHeel_Z7,LHip_X8,LHip_Y8,LHip_Z8,LKnee_X9,LKnee_Y9,LKnee_Z9,LAnkle_X10,LAnkle_Y10,LAnkle_Z10,LBigToe_X11,LBigToe_Y11,LBigToe_Z11,LSmallToe_X12,LSmallToe_Y12,LSmallToe_Z12,LHeel_X13,LHeel_Y13,LHeel_Z13,Neck_X14,Neck_Y14,Neck_Z14,Head_X15,Head_Y15,Head_Z15,Nose_X16,Nose_Y16,Nose_Z16,RShoulder_X17,RShoulder_Y17,RShoulder_Z17,RElbow_X18,RElbow_Y18,RElbow_Z18,RWrist_X19,RWrist_Y19,RWrist_Z19,LShoulder_X20,LShoulder_Y20,LShoulder_Z20,LElbow_X21,LElbow_Y21,LElbow_Z21,LWrist_X22,LWrist_Y22,LWrist_Z22,right ankle,left ankle,right knee,left knee,right hip,left hip,right shoulder,left shoulder,right elbow,left elbow,right foot,left foot,right shank,left shank,right thigh,left thigh,pelvis,trunk,shoulders,head,right arm,left arm,right forearm,left forearm,filename,label
8.515579415031967,-0.9260781923562252,0.0301,8.633892490902202,-0.9561588521388226,0.0301,9.093233605254468,-0.5381547948789986,0.129,9.57023574867831,-0.16769936043737993,0.023,9.711340162397423,0.06722517799983943,0.2179,9.798937472725234,0.021158747026567996,0.1804,9.621860038610382,-0.1321033613019906,-0.0119,8.488109170077275,-0.8749067647213882,0.0301,8.945503241096477,-0.49719740792550327,0.129,9.308805725007467,-0.20773756848055083,0.023,9.330293943236878,0.03040521827947348,0.2179,9.279967171137242,0.0216700877629815,0.1804,9.391791986127252,-0.14272400562498047,-0.0119,7.917736464174145,-1.5252804521286594,0.0008,7.625666352593165,-1.7863946346712622,0.0655,7.822355755374829,-1.6403898108899047,0.1076,8.159553112780396,-1.4779898530113043,-0.01275,8.480396175382099,-1.24117728209975,0.0702,8.420914062655461,-1.2328511032530656,0.1076,7.855587767661456,-1.365585088192671,-0.01275,8.07708050701416,-1.1193761195582252,0.0702,8.159426566315123,-1.067792346891354,0.1076,-53.573309842691046,-24.07760059446516,7.198615594417923,1.6416924279879046,-4.194859856560508,-8.573297933862225,-13.747772257098012,4.261557859986997,112.19467691686192,-25.558447961306634,97.60160755176122,128.27580188911534,61.174917394452244,62.35340248358051,68.37353298887017,63.995094911568415,152.99615735447742,-107.43160715456935,159.7059124587663,247.58421715422276,58.82062058833267,76.82995070541766,171.0152972937119,51.268717966372286,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
8.519116651862058,-0.9263669818150203,0.0301,8.632151582619356,-0.9338388585537795,0.0301,9.108313317098386,-0.5416515610662747,0.129,9.593924765759228,-0.17274565965085148,0.023,9.673210949242954,0.006445195285345016,0.2179,9.779356598539517,-0.02543807069027438,0.1804,9.680373937088158,-0.1303529764789908,-0.0119,8.490065340740692,-0.8625941770833643,0.0301,8.943850877386273,-0.4998620545681606,0.129,9.341956776413346,-0.18901660083137584,0.023,9.332170542009592,0.017080445055167138,0.2179,9.30741414094824,0.00825668996734836,0.1804,9.44316738403915,-0.13618344838401897,-0.0119,7.919595160606336,-1.5099449834576721,0.0008,7.643952385779511,-1.7720753640543396,0.0655,7.772046781209228,-1.6143644502233812,0.1076,8.148719397048183,-1.472986301757532,-0.01275,8.53624553510541,-1.2082295725716092,0.0702,8.342362351511683,-1.3366615334384688,0.1076,7.851968616070246,-1.3759304176992455,-0.01275,8.050928455971716,-1.123290730234838,0.0702,7.977822464539574,-1.1856831886371741,0.1076,-29.5159690400587,-14.077677700672272,3.6679417330054216,1.0405833890944984,-7.491159090346685,-8.825644598538489,-15.865223115897349,10.64076728628478,162.69403885755625,-23.20690132949261,120.63732095838202,137.36848513348752,60.15328999844071,61.446162834159786,63.82123173144613,62.486746223254286,154.86245382779487,-108.6876091782072,161.55992850671282,250.32784186295447,55.44716770589546,81.95315810807759,218.1412057465921,59.04112073469259,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
8.521651292792138,-0.9286422124168833,0.0301,8.632198478495733,-0.9264088023777522,0.0301,9.115526122897501,-0.5449110332791388,0.129,9.606791983451766,-0.17712542201657247,0.023,9.655864350426134,-0.02088915996314812,0.2179,9.769139450754862,-0.04641529714906407,0.1804,9.702603682861293,-0.13339090755328398,-0.0119,8.493553858305471,-0.859783573637326,0.0301,8.944942935724415,-0.5070071725840528,0.129,9.355371248825813,-0.182472695529921,0.023,9.330589530026144,0.005711677467391833,0.2179,9.318558441303056,-0.0011690356068521897,0.1804,9.464260465821328,-0.13530520951192618,-0.0119,7.927079600880258,-1.502405597422371,0.0008,7.655798987975368,-1.7662828699390825,0.0655,7.755685429196159,-1.6045034059485295,0.1076,8.143915552256546,-1.4698889202608791,-0.01275,8.55460885049076,-1.197578143406743,0.0702,8.294494170862905,-1.393798220669466,0.1076,7.858632335852711,-1.3788617672529058,-0.01275,8.038703642332326,-1.1294270655622318,0.0702,7.896600499706967,-1.2398941747022454,0.1076,-19.294339880921708,-10.1419346334662,2.4431179255650197,-0.5744294436511413,-9.027089024730193,-9.484167576323504,-17.08915068090583,14.126971055784315,188.05350658770448,-23.159971872263615,130.18575091800767,141.898624983086,59.48009079892938,62.040559616552194,61.9232087244944,61.46613017290105,155.55574206525912,-109.04970225077545,161.88605968268584,251.27999880716084,53.86114706831876,85.0772688050089,241.91465319452138,61.22438564315169,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
8.525655741992923,-0.9314253153405543,0.0301,8.63625224347073,-0.9319296298947147,0.0301,9.113924728387618,-0.5477281788931967,0.129,9.610457292493429,-0.18013262341055647,0.023,9.664223428412026,-0.01209970780759509,0.2179,9.772554632897387,-0.039525712541341185,0.1804,9.694603326072423,-0.13877879565689089,-0.0119,8.49833975030753,-0.865288779148104,0.0301,8.94880298073181,-0.5175106508049491,0.129,9.34713905316417,-0.1906649320387979,0.023,9.322909664409702,0.0010495807659979862,0.2179,9.309780878154353,-0.004747052382353344,0.1804,9.454634181366464,-0.14078083828910418,-0.0119,7.9378566945272775,-1.5047083863252808,0.0008,7.661066101255583,-1.768938977590168,0.0655,7.772368212629101,-1.6097370364883794,0.1076,8.146028288713026,-1.471295194922976,-0.01275,8.537191803329865,-1.2114383917728466,0.0702,8.271109481147878,-1.4106446458394692,0.1076,7.872621913846508,-1.3760648789759995,-0.01275,8.04142403602488,-1.1371455330345395,0.0702,7.915838043496361,-1.2321439800717404,0.1076,-22.754571049280717,-12.33043836211076,3.807046039548453,-2.9340400169145973,-8.619601946380724,-10.500291250651982,-17.392021495778412,14.28390260511458,189.4753455931746,-23.348617378197567,126.21975453170879,141.50428397107055,58.97432558098949,63.83472233318127,62.78137162053794,60.90068231626667,155.5437737471504,-108.59902643308138,160.69914636200616,250.44612959308733,54.00895207114028,85.68487617203326,243.48430096497944,59.297780856980424,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
8.531409312382154,-0.9320304106276023,0.0301,8.643172904349177,-0.9360494035947482,0.0301,9.111402153711795,-0.5492987250257122,0.129,9.61183165955601,-0.18274319907412567,0.023,9.67780020983994,-0.00020794746805184098,0.2179,9.78196781993987,-0.030237439246666314,0.1804,9.690165327537594,-0.14256205934424548,-0.0119,8.503820159524123,-0.8696007087452585,0.0301,8.952638920715348,-0.5222745252847097,0.129,9.339561972247246,-0.20070475287030112,0.023,9.31531622864778,0.002109113014346635,0.2179,9.298427495082588,-0.004877082338481158,0.1804,9.444129161355168,-0.14723551090430476,-0.0119,7.946423394813819,-1.5104542378677002,0.0008,7.662919110349066,-1.775128612435785,0.0655,7.786027092133687,-1.6159105604817576,0.1076,8.150617802962762,-1.4743678568099017,-0.01275,8.520122358983837,-1.2278583306235242,0.0702,8.259144750877287,-1.4169508518273404,0.1076,7.88644885902549,-1.3754876457349507,-0.01275,8.052776505416716,-1.141648279650205,0.0702,7.952947489552061,-1.2153987727580522,0.1076,-26.81592970855695,-14.302998907824477,5.491189307282815,-3.434246298110007,-8.011400917663744,-10.987951221009578,-17.71024753641656,13.337844905391282,184.58336813815862,-23.80948647140675,121.6661434084691,140.1279595112486,58.482073117026054,64.43095841907304,63.97326242430886,60.99671212096303,155.83482536215166,-108.01533665802742,159.6913341996402,249.45723874725846,54.27441580555609,85.32250824736391,238.85779252927597,57.08861616476922,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
8.534910578244615,-0.9307195739725369,0.0301,8.647245595785783,-0.9327188655785865,0.0301,9.114683568101697,-0.549462346515675,0.129,9.613045776911095,-0.18614447347150156,0.023,9.676120620263672,-0.010593697173693096,0.2179,9.785349571324367,-0.03868201880453196,0.1804,9.70290115684495,-0.14490599537482465,-0.0119,8.508021115882212,-0.8681695052389748,0.0301,8.953519873434374,-0.5167418084671235,0.129,9.348664829224324,-0.2011995780374268,0.023,9.318835481794789,0.0008207662893955237,0.2179,9.303222550074182,-0.006664170309016554,0.1804,9.452119417531213,-0.15008339680158322,-0.0119,7.950212244111759,-1.5132935715572835,0.0008,7.663661549494604,-1.7810707949289142,0.0655,7.774122027271773,-1.6148311500943928,0.1076,8.151925942287662,-1.475432813555128,-0.01275,8.525298552853101,-1.229500815484826,0.0702,8.257350649357134,-1.425369873020591,0.1076,7.896064878988093,-1.3814251380859046,-0.01275,8.061005996996952,-1.1419080277038027,0.0702,7.950305347439099,-1.2233640101743377,0.1076,-23.165903072494096,-12.118565626046244,5.38065098494704,-0.7008124403666256,-8.681595104958122,-10.439767969743391,-18.61182909093715,13.973560522008444,184.04495348683565,-26.779946090277424,125.08750915121507,140.45813715819133,58.253412223709184,62.57670278423757,63.6340632086562,61.87589034387095,156.26657663982652,-107.6843416863857,159.9789549510324,249.50273163260695,53.70382922267722,86.28921883562279,237.74878205550704,56.32413024096933,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
8.534649765507984,-0.9302772217621554,0.0301,8.645412972780722,-0.9320397983815705,0.0301,9.120551022076835,-0.549518774357037,0.129,9.613138091623712,-0.1895316394175325,0.023,9.669072300461163,-0.024783911007134656,0.2179,9.783535789845518,-0.051065951373856625,0.1804,9.714188592531443,-0.14689206215586625,-0.0119,8.506650005211725,-0.8672649033149918,0.0301,8.952262554789964,-0.5096706686578493,0.129,9.361671064123474,-0.19901408803341067,0.023,9.337353938939762,-0.0025310728417941423,0.2179,9.320846700548952,-0.00905228143246513,0.1804,9.464070060825941,-0.15036183875344214,-0.0119,7.94904819951893,-1.5168680222490478,0.0008,7.664180926926724,-1.7859284225314878,0.0655,7.760065586972651,-1.613653722138378,0.1076,8.148557358899767,-1.4797863986139297,-0.01275,8.53523512052902,-1.2277601664729163,0.0702,8.258497256738336,-1.434673805183846,0.1076,7.896656430086113,-1.3895103483651934,-0.01275,8.05529436603337,-1.1416212022682504,0.0702,7.9255200895695035,-1.2446763586658092,0.1076,-18.615259261582654,-10.221662999022811,4.44195649654404,2.531500574407746,-9.741758029419385,-9.858683354812264,-19.365694986357774,16.064728237946916,185.6664461425143,-27.362345271889843,129.74135592616017,139.92848278546342,58.35661518774281,60.150145784486206,62.798571684286834,62.68164635889396,156.09894825508496,-107.4596702862938,160.34274415582829,249.98901890989103,53.174634727348455,88.60505795165315,238.8410357905674,60.0777885342729,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
8.53358633694792,-0.9320904117049482,0.0301,8.641896928443723,-0.9407493781110362,0.0301,9.123265792747262,-0.5506922419742961,0.129,9.612898955902764,-0.1922819624111862,0.023,9.675965320640053,-0.01848375343839598,0.2179,9.787331025336176,-0.048413833855600094,0.1804,9.710302497821672,-0.14849526636785074,-0.0119,8.499854831008198,-0.8720491601483289,0.0301,8.952464707346065,-0.5096581981026896,0.129,9.363366865462558,-0.20353478432854466,0.023,9.360687671798692,0.0005755976289253156,0.2179,9.33457019896418,-0.006665914492281469,0.1804,9.463436288611021,-0.15088844595391937,-0.0119,7.94538799264159,-1.5264485487107209,0.0008,7.66605157280969,-1.7904825687852997,0.0655,7.771722028212996,-1.620314850793559,0.1076,8.144794233583802,-1.491775307057911,-0.01275,8.52929287207783,-1.2398407591962735,0.0702,8.250088990618293,-1.4463658572274125,0.1076,7.8895061158948385,-1.3949276770084693,-0.01275,8.03619269673756,-1.1445757744680576,0.0702,7.907252595884027,-1.2594977952891813,0.1076,-21.180005693507017,-12.95500203549367,4.629159193667251,3.3306033729020115,-9.84958864090601,-10.307999690672082,-19.549967678090376,18.3311270825405,185.0733748212789,-22.97842701127805,127.2476931127298,136.3128415417423,58.427698806236805,59.26784357723596,63.056857999904054,62.59844695013797,155.52140563488342,-107.09355335918997,159.55599216272242,250.02896990267917,53.35647896271967,91.23757372335055,238.42977205394854,68.22216782509297,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
8.533983543156227,-0.9356034427243818,0.0301,8.641368240103946,-0.9496868522526073,0.0301,9.122653005797888,-0.5536115563977058,0.129,9.615376697071373,-0.19430903288121423,0.023,9.687877341721574,-0.0075645353908764396,0.2179,9.794957712004942,-0.04177959360484841,0.1804,9.703955473790584,-0.1495060804111538,-0.0119,8.49531195188312,-0.8777248798318944,0.0301,8.955204680817696,-0.5141307854695605,0.129,9.35970393445654,-0.20922630115993704,0.023,9.371530104933807,0.005262843133824067,0.2179,9.33668005991116,-0.004313514786425856,0.1804,9.457937521124409,-0.1533394457916146,-0.0119,7.945442252527762,-1.5362725114096083,0.0008,7.673428531582098,-1.7935439341442945,0.0655,7.795606214487478,-1.6284891778803303,0.1076,8.144539874057097,-1.5032240987051493,-0.01275,8.510710952239883,-1.2626537162602463,0.0702,8.225204782031392,-1.4705745416160558,0.1076,7.888294102716804,-1.398934217363717,-0.01275,8.009568624289997,-1.1539929912694358,0.0702,7.8759282338264125,-1.2670397185252202,0.1076,-25.592748215795535,-16.47864794625019,5.5022493843029965,2.1997950435392677,-9.581572631842356,-11.329555893516638,-20.034709253853592,22.210908222586617,184.2076240804855,-26.468473578354264,122.66198420402029,133.33055555265506,58.25473241981579,59.80920349890524,63.756981804118794,62.0089985424445,155.20841117750228,-106.66144556403887,158.43557576185538,250.0702931335671,53.30384518210755,95.54946265854777,237.51154524119622,70.83045984957081,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
8.53519404533229,-0.9406475603950853,0.0301,8.64265113310612,-0.9521245461887755,0.0301,9.121761796856445,-0.557769305079683,0.129,9.6220135704872,-0.19405229814834843,0.023,9.685558069181404,-0.015595306138373748,0.2179,9.793872146254875,-0.04756133053824088,0.1804,9.708395869034758,-0.14896527730563916,-0.0119,8.497248829355911,-0.8801864083456189,0.0301,8.959709803747298,-0.5169836628412755,0.129,9.362966457020493,-0.2075149043223607,0.023,9.367540250499093,-0.0016724352299050192,0.2179,9.33517985809753,-0.009619466314177106,0.1804,9.460720287417232,-0.1570985015311967,-0.0119,7.950275064116503,-1.5409634813236446,0.0008,7.685475861042696,-1.795549912702791,0.0655,7.802862505058746,-1.6320187973592075,0.1076,8.146148188869402,-1.509883798619182,-0.01275,8.487113223183608,-1.288012617596739,0.0702,8.183507409478425,-1.5123833583713902,0.1076,7.896950202983054,-1.4041694023495692,-0.01275,7.978901792315357,-1.1683315703627999,0.0702,7.810496029520283,-1.2743517574799061,0.1076,-23.784818757438902,-15.936743281955065,5.674188803732106,1.0686798152081103,-9.787359819260978,-11.887607631377136,-20.851090721977194,28.57708995884242,185.49854799537206,-46.05600637245479,124.33141764320865,134.68475429510033,58.11623640064755,60.62149757705539,63.79042520437966,61.6901773922635,155.09214950649636,-106.42221497635938,157.70547937410097,250.78096591601036,52.72669430166346,102.15487498248308,238.22580306012486,60.82499893655314,D:/ML Projects/AIL721/Course Project/New/New_gym_dataset/New_gym_dataset/OHP\Test\Correct\PXL_20250420_135433987_Sports2D,Correct
