rep_number,num_samples,timestamp
1,20,1767650369.460357
2,19,1767650372.103602
3,18,1767650374.666036
4,17,1767650377.052525
5,16,1767650379.332348
6,16,1767650381.562578
7,18,1767650384.090699
8,18,1767650386.366391
9,18,1767650388.572231
10,17,1767650390.732119
11,15,1767650392.867904
12,17,1767650394.973799
13,17,1767650397.17216
14,17,1767650399.278865
15,15,1767650401.376823
16,16,1767650403.537115
17,14,1767650405.575527
18,17,1767650407.861665
19,20,1767650410.332185
20,19,1767650412.752338
21,20,1767650415.474641
22,15,1767650417.769484
23,17,1767650420.023757
24,21,1767650422.567968
25,17,1767650425.081128
26,21,1767650427.434004
27,17,1767650429.794704
28,17,1767650432.009537
29,20,1767650434.250052
30,18,1767650436.544532
31,16,1767650438.705633
32,16,1767650441.149213
33,16,1767650443.52391
34,13,1767650445.458448
35,14,1767650447.442045
36,14,1767650449.607444
37,14,1767650451.771881
38,13,1767650453.619375
39,15,1767650455.741329
40,16,1767650457.866684
41,15,1767650460.034994
42,16,1767650462.257544
43,18,1767650464.706688
44,18,1767650467.086347
45,16,1767650469.255859
46,17,1767650471.554705
47,18,1767650473.919874
48,15,1767650476.168807
49,15,1767650478.424936
50,19,1767650480.706918
0,1853,1767650361.979386
