rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,60.0,100,6.7,180.0,173.3
2,,,,50.0,100,60.0,100,6.7,179.9,173.20000000000002
3,,,,50.0,100,60.0,100,4.0,180.0,176.0
4,,,,50.0,100,60.0,100,6.1,180.0,173.9
5,,,,50.0,100,60.0,100,6.9,179.8,172.9
6,,,,50.0,100,60.0,100,9.6,180.0,170.4
7,,,,50.0,100,74.5,70.0,10.4,179.8,169.4
8,,,,50.0,100,60.0,70.0,6.8,179.6,172.79999999999998
9,,,,50.0,100,60.0,100,7.0,180.0,173.0
10,,,,50.0,100,60.0,100,10.3,180.0,169.7
11,,,,50.0,100,60.0,100,4.1,180.0,175.9
12,,,,50.0,100,60.0,100,3.6,180.0,176.4
13,,,,50.0,100,60.0,100,3.2,179.8,176.60000000000002
14,,,,50.0,100,60.0,100,4.2,179.9,175.70000000000002
15,,,,50.0,100,60.0,100,6.7,180.0,173.3
16,,,,50.0,100,60.0,70.0,0.9,180.0,179.1
17,,,,50.0,100,60.0,70.0,4.5,180.0,175.5
18,,,,50.0,100,60.0,70.0,3.7,179.9,176.20000000000002
