rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,60.0,100,9.4,177.5,168.1
2,,,,50.0,100,60.0,100,6.4,179.5,173.1
3,,,,50.0,100,60.0,100,6.3,179.6,173.29999999999998
4,,,,50.0,100,60.0,100,3.5,180.0,176.5
5,,,,50.0,100,60.0,100,4.2,180.0,175.8
6,,,,50.0,100,60.0,100,9.8,177.8,168.0
7,,,,50.0,100,60.0,100,8.0,179.5,171.5
8,,,,50.0,100,60.0,100,11.7,178.7,167.0
9,,,,50.0,100,60.0,100,9.7,179.4,169.70000000000002
10,,,,50.0,100,60.0,100,9.7,179.2,169.5
11,,,,50.0,100,60.0,100,5.2,178.3,173.10000000000002
12,,,,50.0,100,60.0,100,4.2,180.0,175.8
13,,,,50.0,100,60.0,100,7.2,180.0,172.8
14,,,,50.0,100,60.0,100,6.3,180.0,173.7
15,,,,50.0,100,60.0,100,4.6,180.0,175.4
16,,,,50.0,100,60.0,100,4.7,180.0,175.3
17,,,,50.0,100,60.0,100,5.7,179.7,174.0
18,,,,50.0,100,60.0,100,2.6,180.0,177.4
0,,,,,,,,,,
