rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,60.0,100,7.2,180.0,172.8
2,,,,50.0,100,60.0,70.0,7.7,176.8,169.10000000000002
3,,,,50.0,100,60.0,70.0,14.0,176.7,162.7
4,,,,50.0,100,60.0,70.0,9.2,180.0,170.8
5,,,,53.9,100,60.0,70.0,9.6,179.7,170.1
6,,,,50.0,100,60.0,100,9.6,180.0,170.4
7,,,,50.0,100,60.0,70.0,7.3,177.6,170.29999999999998
8,,,,50.0,100,60.0,70.0,7.0,180.0,173.0
9,,,,50.0,100,60.0,70.0,6.3,179.9,173.6
10,,,,50.0,100,60.0,70.0,6.8,176.9,170.1
11,,,,50.0,100,60.0,70.0,7.1,176.9,169.8
12,,,,50.0,100,60.0,70.0,7.7,179.2,171.5
13,,,,50.0,100,60.0,100,9.7,180.0,170.3
14,,,,50.0,100,60.0,70.0,8.8,176.0,167.2
15,,,,50.0,100,60.0,70.0,9.0,175.3,166.3
16,,,,50.0,100,60.0,70.0,7.5,172.1,164.6
17,,,,50.0,100,60.0,70.0,9.2,174.1,164.9
18,,,,50.0,100,60.0,70.0,7.9,175.0,167.1
0,,,,,,,,,,
