rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767381092.063578,,,,100,40.0,60.0,100,90.3,177.0,86.7
2,1767381094.813802,,,,100,40.0,60.0,100,91.5,176.3,84.80000000000001
3,1767381097.220819,,,,100,40.0,60.0,100,90.8,176.0,85.2
4,1767381099.973475,,,,100,40.0,60.0,100,87.5,173.3,85.80000000000001
5,1767381102.118627,,,,75.0,40.0,60.0,100,82.0,173.3,91.30000000000001
6,1767381104.316005,,,,100,40.0,60.0,100,87.3,174.5,87.2
7,1767381106.449537,,,,100,40.0,60.0,100,87.5,174.0,86.5
8,1767381108.689172,,,,100,40.0,60.0,100,85.7,174.1,88.39999999999999
9,1767381110.855862,,,,100,40.0,60.0,100,82.4,173.4,91.0
10,1767381113.064011,90.0,True,,100,100,60.0,100,89.1,173.6,84.5
11,1767381115.236597,90.0,True,,100,100,60.0,100,91.4,174.8,83.4
12,1767381117.453697,,,,100,40.0,60.0,100,91.4,174.1,82.69999999999999
13,1767381119.676857,,,,100,40.0,60.0,100,91.5,178.8,87.30000000000001
14,1767381121.864167,,,,100,40.0,60.0,100,99.9,175.0,75.1
15,1767381124.084131,,,,75.0,40.0,60.0,100,89.8,175.2,85.39999999999999
16,1767381126.505006,,,,100,40.0,60.0,100,91.1,174.8,83.70000000000002
17,1767381128.707783,,,,100,40.0,60.0,100,86.9,172.9,86.0
18,1767381130.873982,,,,100,40.0,60.0,100,92.0,174.3,82.30000000000001
19,1767381133.009071,,,,100,40.0,60.0,100,85.0,176.0,91.0
20,1767381135.246082,,,,100,40.0,60.0,100,84.4,174.9,90.5
21,1767381137.455255,,,,100,52.5,60.0,100,82.6,176.3,93.70000000000002
22,1767381139.655182,,,,100,40.0,60.0,100,86.2,178.4,92.2
23,1767381141.814739,,,,100,40.0,60.0,100,81.1,176.9,95.80000000000001
24,1767381144.059442,,,,100,40.0,60.0,100,84.3,172.3,88.00000000000001
25,1767381146.301625,,,,100,40.0,60.0,100,84.9,173.9,89.0
26,1767381148.574166,,,,100,40.0,60.0,100,47.4,175.5,128.1
27,1767381150.766766,,,,100,40.0,60.0,100,81.4,175.6,94.19999999999999
28,1767381153.064383,,,,100,40.0,60.0,100,80.9,174.8,93.9
29,1767381155.392716,,,,100,40.0,60.0,100,71.6,174.6,103.0
30,1767381157.569623,,,,100,65.0,60.0,100,80.3,174.0,93.7
0,1767381157.779583,,,,,,,,,,
