rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.5,100,67.0,100,6.4,176.6,170.2
2,,,,50.9,100,67.4,100,5.8,178.7,172.89999999999998
3,,,,51.9,100,68.4,100,6.3,179.4,173.1
4,,,,52.8,100,68.8,100,9.4,178.6,169.2
5,,,,53.2,100,69.0,100,7.7,178.0,170.3
6,,,,52.4,100,69.2,100,8.9,177.6,168.7
7,,,,53.6,100,68.2,100,8.5,177.7,169.2
8,,,,53.4,100,68.5,100,10.7,173.3,162.60000000000002
9,,,,52.9,100,69.3,100,11.0,174.1,163.1
10,,,,52.7,100,69.4,100,10.4,174.5,164.1
11,,,,54.2,100,69.5,100,7.5,176.6,169.1
12,,,,55.3,100,69.1,100,8.9,177.1,168.2
13,,,,55.5,100,68.0,100,10.1,179.5,169.4
14,,,,52.7,100,69.5,100,10.3,177.4,167.1
15,,,,52.3,100,70.0,100,9.8,178.7,168.89999999999998
16,,,,52.5,100,69.7,100,7.3,179.1,171.79999999999998
17,,,,53.8,100,70.0,100,8.9,180.0,171.1
18,,,,55.4,100,70.6,100,10.2,180.0,169.8
0,,,,,,,,,,
