rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767381242.881413,,,,70.0,100.0,65.0,100.0,40.0,170.5,130.5
2,1767381269.761616,,,,70.0,100.0,65.0,100.0,35.7,177.0,141.3
3,1767381278.884048,,,,70.0,100.0,65.0,100.0,25.9,175.0,149.1
4,1767381281.497839,,,,90.0,100.0,65.0,100.0,15.7,177.2,161.5
5,1767381285.198406,,,,70.0,100.0,65.0,100.0,6.5,172.2,165.7
6,1767381286.16859,,,,90.0,100.0,65.0,100.0,19.3,146.0,126.7
7,1767381286.506814,,,,90.0,100.0,65.0,100.0,12.6,58.6,46.0
0,1767381287.395218,,,,,,,,,,
