rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,60.0,100,7.7,180.0,172.3
2,,,,50.0,100,60.0,100,7.2,179.1,171.9
3,,,,50.0,100,60.0,100,4.4,180.0,175.6
4,,,,50.0,100,60.0,100,6.9,177.5,170.6
5,,,,50.0,100,60.0,100,6.2,180.0,173.8
6,,,,50.0,100,60.0,100,3.7,176.0,172.3
7,,,,50.0,100,60.0,70.0,3.7,179.5,175.8
8,,,,50.0,100,60.0,70.0,5.7,178.6,172.9
9,,,,50.0,100,60.0,100,5.0,180.0,175.0
10,,,,50.0,100,60.0,70.0,2.6,180.0,177.4
11,,,,50.0,100,60.0,70.0,9.1,176.0,166.9
12,,,,50.0,100,74.4,70.0,1.6,180.0,178.4
13,,,,50.0,100,60.0,70.0,3.0,180.0,177.0
14,,,,50.0,100,60.0,70.0,8.7,179.7,171.0
15,,,,50.0,100,60.0,70.0,2.5,177.5,175.0
16,,,,50.0,100,60.0,100,4.2,179.6,175.4
17,,,,50.0,100,74.6,70.0,8.1,177.0,168.9
18,,,,50.0,100,60.0,100,7.0,176.5,169.5
0,,,,,,,,,,
