rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,70.5,70.0,3.4,179.8,176.4
2,,,,50.0,100,70.5,100,3.5,179.0,175.5
3,,,,50.0,100,72.0,100,4.6,179.5,174.9
4,,,,50.0,100,71.5,100,4.1,177.3,173.20000000000002
5,,,,50.0,100,71.9,70.0,6.8,179.7,172.89999999999998
6,,,,50.0,100,70.6,100,13.2,180.0,166.8
7,,,,50.0,100,71.6,100,10.6,176.5,165.9
8,,,,50.0,100,70.8,100,6.9,177.8,170.9
9,,,,50.0,100,69.7,100,9.8,179.1,169.29999999999998
10,,,,50.0,100,71.4,100,8.4,177.8,169.4
11,,,,50.0,100,74.6,100,10.0,179.9,169.9
12,,,,50.0,100,73.6,100,7.7,179.5,171.8
13,,,,50.0,100,73.0,100,6.8,179.3,172.5
14,,,,50.0,100,72.4,100,5.9,179.4,173.5
15,,,,50.0,100,72.9,100,0.6,178.9,178.3
0,,,,,,,,,,
