rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,67.1,100,11.6,178.8,167.20000000000002
2,,,,50.0,100,67.5,100,5.4,176.8,171.4
3,,,,50.0,100,67.3,100,5.3,176.9,171.6
4,,,,50.0,100,66.8,100,9.0,178.2,169.2
5,,,,50.0,100,66.3,100,5.3,175.0,169.7
6,,,,50.0,100,66.1,100,2.5,179.9,177.4
7,,,,50.0,100,66.7,70.0,5.8,178.8,173.0
8,,,,50.0,100,66.2,100,8.7,178.5,169.8
9,,,,50.0,100,66.9,100,5.1,179.9,174.8
10,,,,50.0,100,67.0,100,0.7,180.0,179.3
11,,,,50.0,100,67.4,100,0.6,179.9,179.3
12,,,,50.0,100,67.3,100,1.9,179.9,178.0
13,,,,50.0,100,65.9,100,5.3,179.9,174.6
14,,,,50.0,100,66.7,100,1.1,179.8,178.70000000000002
15,,,,50.0,100,66.2,100,2.5,180.0,177.5
16,,,,50.0,100,66.1,100,1.5,180.0,178.5
17,,,,50.0,100,66.4,100,5.5,179.9,174.4
18,,,,50.0,100,66.3,100,4.8,180.0,175.2
0,,,,,,,,,,
