rep_number,num_samples,timestamp
1,26,1767651669.183029
2,21,1767651672.450977
3,19,1767651675.45363
4,19,1767651678.393291
5,18,1767651681.264596
6,22,1767651684.434525
7,21,1767651687.48106
8,26,1767651691.117855
9,24,1767651694.437547
10,27,1767651697.693762
11,3,1767651700.930371
12,0,1767651704.216927
13,17,1767651707.329904
14,3,1767651710.108266
15,21,1767651713.162077
16,23,1767651716.365688
17,22,1767651719.784213
18,21,1767651722.946266
19,22,1767651726.150005
20,23,1767651729.365316
0,978,1767651659.3298938
