rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767284057.827735,,,,50.0,100,69.8,70.0,12.0,170.5,158.5
2,1767284062.15403,,,,50.0,100,74.6,70.0,7.5,178.4,170.9
3,1767284064.015208,,,,50.0,100,74.6,70.0,4.9,176.2,171.29999999999998
4,1767284065.822693,,,,50.0,100,74.0,70.0,5.2,175.3,170.10000000000002
5,1767284067.525852,,,,50.0,100,60.0,70.0,2.2,175.2,173.0
6,1767284069.259732,,,,50.0,100,74.8,70.0,4.1,175.5,171.4
7,1767284075.90418,,,,50.0,100,60.0,70.0,10.8,176.7,165.89999999999998
8,1767284077.467441,,,,50.0,100,60.0,70.0,3.9,175.0,171.1
9,1767284079.150968,,,,50.0,100,60.0,70.0,2.7,175.8,173.10000000000002
10,1767284080.997666,,,,50.0,100,74.9,70.0,8.5,173.5,165.0
11,1767284082.559367,,,,50.0,100,60.0,70.0,7.2,172.6,165.4
12,1767284085.40045,,,,50.0,100,74.8,70.0,1.0,175.1,174.1
13,1767284091.877348,,,,50.0,100,60.0,70.0,3.6,176.5,172.9
14,1767284093.451429,,,,50.0,100,60.0,70.0,0.1,173.3,173.20000000000002
15,1767284094.971712,,,,50.0,100,60.0,70.0,3.8,177.1,173.29999999999998
16,1767284096.609994,,,,50.0,100,74.5,70.0,0.7,175.7,175.0
17,1767284098.088817,,,,50.0,100,60.0,70.0,2.3,174.8,172.5
18,1767284099.649654,,,,50.0,100,60.0,70.0,5.2,172.3,167.10000000000002
0,1767284099.863728,,,,,,,,,,
