rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,61.4,100,60.0,100,5.8,174.5,168.7
2,,,,60.4,100,60.0,100,5.4,175.3,169.9
3,,,,64.5,100,60.0,100,6.9,175.0,168.1
4,,,,56.3,100,60.0,100,5.9,175.5,169.6
5,,,,61.0,100,60.0,100,8.4,174.7,166.29999999999998
6,,,,61.9,100,60.0,100,8.0,174.1,166.1
7,,,,61.7,100,60.0,100,8.2,173.4,165.20000000000002
8,,,,62.6,100,60.0,100,7.6,173.7,166.1
9,90.0,True,,100,100,60.0,100,11.5,179.9,168.4
10,,,,69.2,100,60.0,70.0,7.6,174.5,166.9
11,,,,65.0,100,60.0,100,6.7,176.6,169.9
12,,,,59.1,100,60.0,100,7.0,179.3,172.3
13,,,,69.6,100,60.0,100,6.0,176.5,170.5
14,90.0,True,,100,100,60.0,100,6.6,174.4,167.8
15,,,,65.2,100,60.0,100,5.1,176.0,170.9
16,,,,65.9,100,60.0,100,5.6,176.5,170.9
17,,,,67.4,100,60.0,100,8.7,179.9,171.20000000000002
18,,,,66.2,100,60.0,100,6.9,173.4,166.5
19,,,,66.0,100,60.0,100,5.3,177.4,172.1
20,,,,54.8,100,60.0,100,5.2,178.5,173.3
21,,,,69.1,100,74.5,100,53.1,178.2,125.1
22,,,,57.3,100,60.0,100,5.6,179.4,173.8
23,90.0,True,,100,100,60.0,100,17.3,177.4,160.1
24,90.0,True,,100,100,60.0,100,12.6,176.9,164.3
0,,,,,,,,,,
