rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767649849.042247,,,,55.0,100,70.0,100,26.1,110.1,84.0
2,1767649849.995036,,,,60.0,100,70.0,100,12.3,179.8,167.5
3,1767649850.993825,,,,55.0,100,70.0,100,16.6,179.9,163.3
4,1767649851.953491,,,,55.0,100,70.0,100,12.8,180.0,167.2
5,1767649852.940192,,,,55.0,100,70.0,100,14.4,179.9,165.5
6,1767649853.942003,,,,55.0,100,70.0,100,15.9,180.0,164.1
7,1767649854.972011,,,,55.0,100,70.0,100,13.6,179.5,165.9
8,1767649856.009993,,,,55.0,100,70.0,100,16.6,179.9,163.3
9,1767649857.005131,,,,55.0,100,70.0,100,15.2,179.9,164.70000000000002
10,1767649858.013415,,,,55.0,100,70.0,100,12.7,180.0,167.3
11,1767649858.953214,,,,55.0,100,70.0,100,18.0,180.0,162.0
12,1767649859.940938,,,,55.0,100,70.0,100,12.0,179.9,167.9
13,1767649860.942965,,,,60.0,100,70.0,100,14.1,179.9,165.8
14,1767649861.938519,,,,56.0,100,70.0,100,14.2,179.9,165.70000000000002
15,1767649862.932868,,,,55.7,100,70.0,100,14.5,179.8,165.3
16,1767649863.931529,,,,55.0,100,70.0,100,17.3,179.8,162.5
17,1767649864.91558,,,,55.0,100,70.0,100,15.6,180.0,164.4
18,1767649865.913877,,,,55.0,100,70.0,100,16.0,179.9,163.9
19,1767649866.865309,,,,55.0,100,70.0,100,13.4,180.0,166.6
20,1767649867.817162,,,,55.9,100,70.0,100,14.1,180.0,165.9
21,1767649868.832712,,,,55.0,100,70.0,100,11.7,179.9,168.20000000000002
22,1767649869.811479,,,,56.0,100,70.0,100,11.0,179.9,168.9
23,1767649870.845813,,,,55.0,100,70.0,100,14.5,180.0,165.5
24,1767649871.886286,,,,55.0,100,70.0,100,13.0,179.9,166.9
25,1767649872.91937,,,,55.0,100,70.0,100,12.1,180.0,167.9
26,1767649873.965079,,,,60.0,100,70.0,100,11.6,180.0,168.4
27,1767649874.952106,,,,55.0,100,70.0,100,12.7,179.9,167.20000000000002
28,1767649875.911646,,,,60.0,100,70.0,100,13.6,179.8,166.20000000000002
29,1767649876.90334,,,,60.0,100,70.0,100,14.3,180.0,165.7
30,1767649877.901693,,,,55.0,100,70.0,100,16.4,179.5,163.1
31,1767649878.88544,,,,55.0,100,70.0,100,15.1,180.0,164.9
32,1767649879.839034,,,,55.0,100,70.0,100,14.6,180.0,165.4
33,1767649880.836142,,,,55.0,100,70.0,100,13.6,180.0,166.4
34,1767649881.786872,,,,55.0,100,70.0,100,12.9,180.0,167.1
35,1767649882.806148,,,,55.0,100,70.0,100,13.6,179.9,166.3
36,1767649883.754267,,,,55.0,100,70.0,100,14.0,179.9,165.9
37,1767649884.728195,,,,55.0,100,70.0,100,14.8,180.0,165.2
38,1767649885.733937,,,,54.4,100,70.0,100,17.8,179.9,162.1
39,1767649886.684864,,,,60.0,100,70.0,100,18.4,179.7,161.29999999999998
40,1767649887.724729,,,,55.0,100,70.0,100,13.8,179.9,166.1
41,1767649888.709102,,,,55.0,100,70.0,100,15.4,179.9,164.5
42,1767649889.699525,,,,55.0,100,70.0,100,15.5,179.9,164.4
43,1767649890.67219,,,,55.0,100,70.0,100,14.7,179.9,165.20000000000002
44,1767649891.706681,,,,55.0,100,70.0,100,13.6,180.0,166.4
45,1767649892.695423,,,,55.0,100,70.0,100,15.3,180.0,164.7
46,1767649893.737491,,,,52.8,100,70.0,100,20.0,179.6,159.6
47,1767649894.761219,,,,55.0,100,70.0,100,12.8,179.5,166.7
48,1767649895.767538,,,,55.0,100,70.0,100,16.0,179.9,163.9
49,1767649896.767941,,,,55.0,100,70.0,100,17.4,180.0,162.6
50,1767649897.810799,,,,55.0,100,70.0,100,14.3,179.7,165.39999999999998
0,1767649897.812742,,,,,,,,,,
