rep_number,num_samples,timestamp
1,9,1767470795.636532
2,12,1767470796.790012
3,9,1767470798.006044
4,9,1767470799.169124
5,9,1767470800.463706
6,10,1767470801.924078
7,8,1767470806.076167
8,11,1767470807.482816
9,9,1767470808.802041
10,11,1767470810.241502
11,8,1767470811.358693
12,8,1767470812.424029
13,7,1767470813.411101
14,8,1767470814.527859
15,8,1767470815.61521
16,8,1767470816.739689
17,7,1767470817.907988
18,8,1767470819.16477
19,7,1767470820.084157
20,6,1767470821.033301
21,6,1767470822.026533
22,8,1767470823.04807
23,9,1767470824.184209
24,7,1767470825.118385
25,10,1767470826.319879
26,11,1767470827.618869
27,10,1767470828.860981
28,11,1767470830.163518
29,10,1767470831.424899
30,11,1767470832.741139
31,10,1767470834.096784
32,11,1767470839.112082
33,10,1767470840.48501
34,9,1767470841.711961
35,9,1767470842.985648
36,7,1767470844.128578
37,9,1767470845.207469
38,7,1767470846.33584
39,6,1767470847.42167
40,8,1767470848.417031
41,6,1767470849.404623
42,7,1767470850.483374
43,8,1767470851.699659
44,6,1767470853.063959
45,7,1767470853.893759
46,8,1767470855.071697
47,10,1767470856.385779
48,10,1767470857.635702
49,10,1767470858.975116
50,12,1767470860.392059
51,11,1767470861.755497
52,8,1767470863.103135
53,11,1767470864.446617
54,9,1767470865.821406
55,9,1767470867.172836
56,12,1767470868.742048
57,10,1767470870.174245
58,9,1767470871.336885
59,9,1767470872.584366
60,8,1767470873.749311
61,8,1767470875.064271
62,8,1767470876.40646
63,8,1767470877.746585
64,8,1767470879.020286
65,9,1767470880.312182
66,9,1767470881.73577
67,8,1767470882.954551
68,7,1767470884.241958
69,7,1767470885.403845
70,7,1767470886.631539
71,8,1767470887.810648
72,8,1767470889.027963
73,10,1767470890.674709
74,9,1767470891.934953
75,9,1767470893.116068
76,9,1767470894.240946
77,7,1767470895.331368
78,12,1767470896.680306
79,10,1767470898.220182
80,13,1767470899.816653
81,9,1767470901.104184
82,9,1767470902.518357
83,11,1767470903.843869
84,9,1767470905.157661
85,10,1767470906.432569
86,9,1767470907.754669
87,11,1767470909.036561
88,10,1767470910.337616
89,9,1767470912.900881
90,10,1767470914.16686
91,9,1767470915.432634
92,8,1767470916.589357
93,9,1767470917.780025
94,7,1767470918.983547
95,8,1767470920.233524
96,9,1767470921.457152
97,8,1767470922.724182
98,9,1767470923.986598
99,9,1767470925.266527
100,11,1767470926.533287
0,2141,1767470789.3644302
