rep_number,num_samples,timestamp
1,18,1767651005.060443
2,19,1767651007.995476
3,19,1767651010.891485
4,17,1767651013.637134
5,19,1767651016.462064
6,18,1767651019.288388
7,17,1767651021.975501
8,17,1767651024.731326
9,17,1767651027.417406
10,18,1767651030.146141
11,15,1767651032.865108
12,18,1767651035.660943
13,18,1767651038.491951
14,20,1767651041.437313
15,19,1767651044.349981
16,19,1767651047.311064
17,19,1767651050.162779
18,19,1767651053.202889
19,20,1767651056.222735
20,17,1767651059.127349
0,1075,1767650990.0465448
