rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,64.5,100,60.0,100,8.9,179.0,170.1
2,,,,57.1,100,60.0,100,8.2,179.8,171.60000000000002
3,90.0,True,,100,100,60.0,100,6.6,180.0,173.4
4,,,,63.4,100,60.0,100,6.1,179.3,173.20000000000002
5,,,,57.4,100,73.0,100,7.8,180.0,172.2
6,,,,66.2,100,60.0,100,9.3,179.3,170.0
7,,,,54.4,100,60.0,100,9.4,179.1,169.7
8,,,,50.0,100,60.0,100,8.9,177.6,168.7
9,,,,52.5,100,60.0,100,6.9,179.3,172.4
10,,,,58.7,100,60.0,100,8.1,179.7,171.6
11,,,,59.0,100,60.0,100,5.5,179.9,174.4
12,,,,54.6,100,60.0,100,5.4,179.8,174.4
13,,,,53.5,100,73.9,100,11.0,180.0,169.0
14,,,,54.0,100,72.7,100,5.9,179.9,174.0
15,,,,50.0,100,72.7,100,6.7,179.5,172.8
16,,,,54.8,100,72.5,100,5.1,178.1,173.0
17,,,,50.0,100,73.2,100,10.6,178.4,167.8
18,,,,52.1,100,72.3,100,11.9,179.0,167.1
0,,,,,,,,,,
