rep_number,num_samples,timestamp
1,14,1767649663.877855
2,11,1767649665.598222
3,9,1767649667.195779
4,10,1767649668.851841
5,9,1767649670.480881
6,9,1767649671.994991
7,8,1767649673.513984
8,9,1767649675.110911
9,9,1767649676.793245
10,9,1767649678.36201
11,10,1767649680.011026
12,8,1767649681.563148
13,8,1767649683.095718
14,9,1767649684.713431
15,9,1767649686.320597
16,8,1767649688.001592
17,9,1767649689.692842
18,10,1767649691.473393
19,8,1767649693.191539
20,9,1767649694.921129
21,9,1767649696.61073
22,9,1767649698.256568
23,10,1767649699.946836
24,10,1767649701.676393
25,9,1767649703.357933
26,9,1767649705.099922
27,8,1767649706.721264
28,8,1767649708.462911
29,10,1767649710.076639
30,9,1767649711.705156
31,10,1767649713.407152
32,9,1767649715.121171
33,9,1767649716.661319
34,9,1767649718.219556
35,7,1767649719.835598
36,8,1767649721.456277
37,8,1767649723.124216
38,9,1767649724.713198
39,8,1767649726.28384
40,8,1767649727.881085
41,8,1767649729.44937
42,8,1767649731.04174
43,7,1767649732.597719
44,10,1767649734.234255
45,9,1767649735.802065
46,9,1767649737.404811
47,9,1767649739.111232
48,9,1767649740.656942
49,9,1767649742.286505
50,8,1767649743.931841
0,1358,1767649656.1013901
