rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,54.6,100,60.0,100,8.9,179.5,170.6
2,,,,54.1,100,60.0,100,5.7,176.3,170.60000000000002
3,,,,56.9,100,60.0,100,1.0,179.9,178.9
4,,,,57.0,100,60.0,100,0.1,180.0,179.9
5,,,,56.4,100,60.0,100,0.2,180.0,179.8
6,,,,57.1,100,60.0,100,,179.9,
7,,,,55.9,100,60.0,100,5.2,179.6,174.4
8,,,,58.3,100,60.0,100,0.1,180.0,179.9
9,,,,56.4,100,60.0,100,0.4,179.8,179.4
10,,,,54.4,100,60.0,100,5.0,180.0,175.0
11,,,,54.7,100,60.0,100,3.7,179.7,176.0
12,,,,54.2,100,60.0,100,3.3,179.9,176.6
13,,,,53.5,100,60.0,70.0,10.4,174.4,164.0
14,,,,53.2,100,60.0,100,11.4,174.4,163.0
15,,,,53.5,100,60.0,70.0,8.5,175.1,166.6
16,,,,54.5,100,60.0,100,8.5,175.2,166.7
17,,,,56.7,100,60.0,100,9.6,173.9,164.3
18,,,,58.0,100,60.0,100,5.7,173.6,167.9
0,,,,,,,,,,
