timestamp,node_id,node_name,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,roll,pitch,yaw,rep_number
1767366930.271465,1,left_wrist,-0.3709,0.8272,-0.3967,-0.56,2.03,-1.33,0.4633714689817321,0.8278354746386515,-0.10331030185998559,-0.29883488784462375,115.30750627033413,23.517562447588862,-29.246827283036477,1
1767366930.271465,2,right_wrist,-0.4895,-0.7657,-0.3094,-0.7,-3.57,1.33,-0.4204793125855304,0.20599117672786707,-0.7857019389597091,0.40427372646861726,-111.56379054625289,29.616298224748785,-130.23435911172862,1
1767366930.3614469,1,left_wrist,-0.3709,0.8272,-0.3967,-0.56,2.03,-1.33,0.4642565633611241,0.8286938525049697,-0.10488455268936393,-0.2945022458381972,115.44336411858549,22.999165243782254,-29.07198855277199,1
1767366930.3614469,2,right_wrist,-0.4792,-0.835,-0.3157,-0.42,-1.96,-1.89,-0.42244587459101957,0.2072399152370952,-0.7846666199951111,0.403595584761526,-111.42848459147386,29.714344574786384,-129.90674395100092,1
1767366930.4170408,1,left_wrist,-0.3933,0.814,-0.4031,0.91,-0.14,-3.71,0.459054226727366,0.8321237364583997,-0.10087903159165651,-0.2943853344366555,116.20350271436816,23.41025562423706,-28.52022159346214,1
1767366930.4170408,2,right_wrist,-0.4651,-0.8711,-0.3177,6.65,-1.61,2.1,-0.42182326216745386,0.2081436958117246,-0.7821287948095121,0.40867577089676344,-110.83421454077568,29.32176358423221,-129.7471346002356,1
1767366930.4729779,1,left_wrist,-0.3972,0.8218,-0.4221,14.07,-5.39,-2.66,0.45069542670804286,0.8363311379248267,-0.10295883037508131,-0.29465800401417047,117.28260826964917,23.58175310012933,-28.536005967804766,1
1767366930.4729779,2,right_wrist,-0.5114,-0.7686,-0.3245,-8.05,-0.7,3.78,-0.4230272299086908,0.20646770387709473,-0.7855920451516412,0.40157712659707323,-111.63652772537469,29.922507140692005,-129.97700752218728,1
1767366930.559096,1,left_wrist,-0.4094,0.791,-0.4216,-6.93,-2.1,-2.1,0.4495102816333872,0.8361022250680563,-0.09955673969454884,-0.29826503570400237,117.26299271502411,24.15814185653434,-28.446904004383676,1
1767366930.559096,2,right_wrist,-0.5061,-0.7676,-0.3216,-2.73,-3.36,-1.19,-0.42521610103635127,0.20457178790544084,-0.7878208444347475,0.3958282052693264,-112.16948012897784,30.53320665928869,-130.089318580494,1
1767366930.617192,1,left_wrist,-0.4138,0.8389,-0.3963,-0.35,0.07,-4.62,0.4521494969366487,0.8332015562096099,-0.09727238230417656,-0.30310737831779955,116.63033920977249,24.653887726527827,-28.6817721707626,1
1767366930.617192,2,right_wrist,-0.5007,-0.8628,-0.3074,-1.47,-2.38,0.14,-0.42568204174359725,0.20667593121515832,-0.7856565393760437,0.39852686349731614,-111.74446148935614,30.274806932600235,-129.74388462719472,1
1767366930.668719,1,left_wrist,-0.4089,0.7969,-0.4055,5.46,3.08,-3.85,0.44729004806020534,0.8368082523324134,-0.0963069880472983,-0.3006801054076051,117.45555127273238,24.649670964895638,-28.248214089357695,1
1767366930.668719,2,right_wrist,-0.507,-0.7891,-0.3182,1.54,-1.12,2.52,-0.4289189609358622,0.20306465169568833,-0.7865344898364983,0.395166760341819,-111.88918181427655,30.94602177885206,-129.85176525635566,1
1767366930.7205482,1,left_wrist,-0.3948,0.8101,-0.4065,-1.54,3.29,-2.31,0.4509615776476575,0.8358280392919817,-0.09686405950998694,-0.29772890050195505,117.139199744762,24.225967926220935,-28.165555190448718,1
1767366930.7205482,2,right_wrist,-0.4943,-0.7813,-0.3323,1.33,-2.52,0.35,-0.4270174096233147,0.2045307427507552,-0.7875833990012409,0.3943801424591138,-112.1656684745947,30.750322198824318,-129.93325144140033,1
1767366930.770974,1,left_wrist,-0.4168,0.8154,-0.4158,5.25,2.59,-3.78,0.44875522830574455,0.8362099139931153,-0.09354403363569926,-0.30103361702482456,117.27535373689928,24.802888197255886,-28.032883468554797,1
1767366930.770974,2,right_wrist,-0.5109,-0.7925,-0.3167,-3.57,-2.1,0.98,-0.4302114744159568,0.2042066463164008,-0.786002789159612,0.3942300702817676,-111.85274993118622,31.016575984997022,-129.61314345428968,1
1767366930.862676,1,left_wrist,-0.4168,0.8154,-0.4158,5.25,2.59,-3.78,0.4497840063690647,0.8364502900059373,-0.09453185557439818,-0.298511286629564,117.28186388325217,24.47787780835028,-27.957052077775806,1
1767366930.862676,2,right_wrist,-0.4987,-0.7535,-0.3216,4.34,-2.24,-0.42,-0.42985853942063573,0.2059276018104325,-0.785760631065774,0.3942025996450026,-111.86568424165397,30.87571033290186,-129.4737124588442,1
1767366930.914638,1,left_wrist,-0.4006,0.792,-0.4138,3.99,-1.89,1.12,0.44854118191904974,0.8369997338543111,-0.09844783348494306,-0.2975739869891102,117.45257048208103,24.193708927448125,-28.25030700259949,1
