rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767650276.45981,,,,65.0,100,60.1,100,15.7,102.1,86.39999999999999
2,1767650277.455694,,,,65.0,100,60.1,100,14.5,107.9,93.4
3,1767650278.462648,,,,65.0,100,60.0,100,15.5,112.9,97.4
4,1767650279.454656,,,,65.0,100,60.4,100,14.0,108.1,94.1
5,1767650280.459644,,,,65.0,100,60.0,100,15.9,108.1,92.19999999999999
6,1767650281.473944,,,,65.0,100,60.0,100,15.3,108.9,93.60000000000001
7,1767650282.513672,,,,65.0,100,60.0,100,14.4,107.4,93.0
8,1767650283.554703,,,,65.0,100,60.0,100,14.1,112.2,98.10000000000001
9,1767650284.587253,,,,65.0,100,60.0,100,14.7,109.0,94.3
10,1767650285.629655,,,,65.0,100,60.1,100,15.1,109.0,93.9
11,1767650286.660007,,,,65.0,100,60.0,100,15.6,110.5,94.9
12,1767650287.682438,,,,65.0,100,60.0,100,16.8,107.8,91.0
13,1767650288.690897,,,,65.0,100,60.0,100,17.2,110.5,93.3
14,1767650289.732716,,,,65.0,100,60.0,100,14.6,109.9,95.30000000000001
15,1767650290.769367,,,,65.0,100,60.0,100,14.5,106.4,91.9
16,1767650291.818903,,,,65.0,100,60.0,100,15.3,107.0,91.7
17,1767650292.825687,,,,65.0,100,60.0,100,15.1,109.7,94.60000000000001
18,1767650293.814125,,,,65.0,100,60.0,100,15.4,110.1,94.69999999999999
19,1767650294.909317,,,,65.0,100,60.0,100,16.9,111.2,94.30000000000001
20,1767650295.845027,,,,65.0,100,60.0,100,15.9,110.8,94.89999999999999
21,1767650296.878376,,,,65.0,100,60.0,100,17.2,109.2,92.0
22,1767650297.91024,,,,65.0,100,60.0,100,16.6,110.3,93.69999999999999
23,1767650298.951077,,,,65.0,100,60.0,100,15.5,112.3,96.8
24,1767650300.025782,,,,65.0,100,60.1,100,15.3,112.7,97.4
25,1767650301.128806,,,,65.0,100,60.0,100,15.2,107.3,92.1
26,1767650302.194712,,,,65.0,100,60.0,100,17.0,107.7,90.7
27,1767650303.274379,,,,65.0,100,60.0,70.0,15.7,108.4,92.7
28,1767650304.363791,,,,65.0,100,60.0,70.0,16.1,106.6,90.5
29,1767650305.411415,,,,65.0,100,60.0,70.0,16.4,109.0,92.6
30,1767650306.516854,,,,65.0,100,60.0,70.0,16.0,107.0,91.0
31,1767650307.608712,,,,65.0,100,60.0,70.0,14.3,105.9,91.60000000000001
32,1767650308.729798,,,,65.0,100,60.0,70.0,16.1,105.5,89.4
33,1767650309.811426,,,,65.0,100,60.0,100,15.6,108.6,93.0
34,1767650310.819416,,,,65.0,100,60.0,100,17.0,106.1,89.1
35,1767650311.84141,,,,65.0,100,60.0,100,15.0,104.5,89.5
36,1767650312.925821,,,,65.0,100,60.0,100,14.8,104.9,90.10000000000001
37,1767650313.953601,,,,65.0,100,60.1,100,15.1,104.7,89.60000000000001
38,1767650315.034382,,,,65.0,100,60.0,100,14.0,107.6,93.6
39,1767650316.08313,,,,65.0,100,60.0,100,15.3,108.2,92.9
40,1767650317.122419,,,,65.0,100,60.0,100,16.1,106.5,90.4
41,1767650318.191878,,,,65.0,100,60.0,100,17.0,107.2,90.2
42,1767650319.248591,,,,65.0,100,60.0,100,16.1,106.3,90.19999999999999
43,1767650320.317129,,,,65.0,100,60.0,100,17.0,110.1,93.1
44,1767650321.403169,,,,65.0,100,60.0,100,16.3,108.3,92.0
45,1767650322.451662,,,,65.0,100,60.0,100,15.4,107.2,91.8
46,1767650323.558753,,,,65.0,100,60.0,100,15.7,113.9,98.2
47,1767650324.688661,,,,65.0,100,60.0,100,14.7,108.1,93.39999999999999
48,1767650325.812047,,,,65.0,100,60.0,100,15.2,112.7,97.5
49,1767650326.935395,,,,65.0,100,60.0,100,14.2,110.4,96.2
50,1767650328.02558,,,,65.0,100,60.0,100,14.3,110.5,96.2
0,1767650328.027719,,,,,,,,,,
