rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,74.5,100,2.4,178.5,176.1
2,,,,50.0,100,74.5,100,5.4,179.9,174.5
3,,,,50.0,100,74.9,100,5.1,178.8,173.70000000000002
4,,,,50.0,100,74.8,100,6.2,179.8,173.60000000000002
5,,,,50.0,100,74.9,100,6.1,178.4,172.3
6,,,,50.0,100,74.5,100,5.5,179.1,173.6
7,,,,50.0,100,73.3,100,7.5,177.9,170.4
8,,,,50.0,100,73.0,100,8.9,175.1,166.2
9,,,,50.0,100,72.7,100,9.4,179.6,170.2
10,,,,50.0,100,72.7,100,9.3,179.0,169.7
11,,,,50.0,100,72.8,100,10.5,178.3,167.8
12,,,,50.0,100,72.8,100,7.1,178.4,171.3
13,,,,50.0,100,73.0,100,11.3,178.7,167.39999999999998
14,,,,50.0,100,73.2,100,13.0,179.1,166.1
15,,,,50.0,100,73.2,100,7.6,180.0,172.4
16,,,,50.0,100,72.9,100,10.0,179.6,169.6
17,,,,50.0,100,72.7,100,13.5,180.0,166.5
18,,,,50.0,100,72.6,100,6.0,179.9,173.9
