rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,74.0,100,7.7,179.8,172.10000000000002
2,,,,50.0,100,60.0,70.0,11.0,179.4,168.4
3,,,,50.0,100,60.0,70.0,8.7,180.0,171.3
4,,,,50.0,100,60.0,70.0,2.4,180.0,177.6
5,,,,50.0,100,60.0,100,0.5,179.9,179.4
6,,,,50.0,100,60.0,100,0.9,179.2,178.29999999999998
7,,,,50.0,100,60.0,100,0.5,179.7,179.2
8,,,,50.0,100,60.0,100,1.0,180.0,179.0
9,,,,50.0,100,73.9,100,8.8,178.7,169.89999999999998
10,,,,50.0,100,60.0,100,4.6,180.0,175.4
11,,,,50.0,100,60.0,100,,179.1,
12,,,,50.0,100,60.0,100,,178.6,
13,,,,50.5,100,60.0,100,3.9,179.8,175.9
14,,,,50.0,100,60.0,100,3.0,179.7,176.7
15,,,,50.0,100,60.0,100,5.0,179.6,174.6
16,,,,50.0,100,60.0,100,3.4,179.7,176.29999999999998
17,,,,50.0,100,60.0,100,4.1,179.5,175.4
18,,,,50.0,100,60.0,100,,179.3,
19,,,,50.0,100,60.0,100,,178.5,
20,,,,50.0,100,60.0,100,6.2,179.9,173.70000000000002
21,,,,50.0,100,60.0,100,4.2,179.9,175.70000000000002
22,,,,50.0,100,60.0,100,2.8,179.9,177.1
23,,,,50.0,100,60.0,100,0.3,179.7,179.39999999999998
24,,,,50.0,100,60.0,100,1.9,179.7,177.79999999999998
0,,,,,,,,,,
