rep_number,num_samples,timestamp
1,77,1767129971.667201
2,84,1767129975.935487
3,200,1767129980.360057
4,137,1767129984.2138429
5,132,1767129988.008383
6,153,1767129991.258881
7,114,1767130000.690005
8,108,1767130004.48241
9,143,1767130007.839173
10,123,1767130011.1369028
11,144,1767130014.4046578
12,151,1767130018.102141
13,91,1767130026.736311
14,90,1767130030.194129
15,135,1767130033.461664
16,181,1767130037.008364
17,121,1767130040.0835998
18,151,1767130043.2902231
0,2342,1767129962.3882601
