rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,60.0,100,8.5,180.0,171.5
2,,,,50.0,100,60.0,100,1.3,179.6,178.29999999999998
3,,,,50.0,100,60.0,70.0,1.9,179.3,177.4
4,,,,50.0,100,60.0,100,3.0,179.8,176.8
5,,,,50.0,100,60.0,100,0.4,179.2,178.79999999999998
6,,,,50.0,100,60.0,70.0,4.9,179.3,174.4
7,,,,50.0,100,60.0,70.0,7.1,179.4,172.3
8,,,,50.0,100,60.0,70.0,6.0,179.9,173.9
9,,,,50.0,100,60.0,70.0,4.8,176.9,172.1
10,,,,50.0,100,60.0,70.0,7.7,178.6,170.9
11,,,,50.0,100,60.0,70.0,7.5,176.9,169.4
12,,,,50.0,100,60.0,70.0,6.4,177.8,171.4
13,,,,50.0,100,60.0,70.0,9.0,179.6,170.6
14,,,,50.0,100,60.0,70.0,5.7,179.3,173.60000000000002
15,,,,50.0,100,60.0,70.0,2.6,179.2,176.6
16,,,,50.0,100,60.0,100,4.5,177.0,172.5
17,,,,50.0,100,60.0,100,8.1,180.0,171.9
18,,,,50.0,100,60.0,100,6.3,179.0,172.7
0,,,,,,,,,,
