rep_number,num_samples,timestamp
1,11,1767649945.456696
2,14,1767649947.911493
3,13,1767649950.494903
4,13,1767649953.297281
5,9,1767649955.837806
6,10,1767649958.277019
7,9,1767649960.967143
8,10,1767649963.547573
9,11,1767649966.015719
10,11,1767649968.470608
11,9,1767649970.728101
12,10,1767649973.130602
13,10,1767649975.539778
14,12,1767649977.813205
15,11,1767649980.019925
16,9,1767649982.258345
17,13,1767649984.485979
18,12,1767649986.646215
19,12,1767649988.948141
20,11,1767649991.373327
21,11,1767649993.996088
22,12,1767649996.683043
23,11,1767649999.441233
24,9,1767650002.343093
25,11,1767650004.994228
26,12,1767650007.919355
27,14,1767650010.453926
28,11,1767650013.083341
29,10,1767650015.879497
30,11,1767650018.454381
31,10,1767650020.724511
32,11,1767650022.980316
33,11,1767650025.362795
34,14,1767650027.733517
35,10,1767650030.162767
36,11,1767650032.794204
37,9,1767650035.389509
38,11,1767650037.772868
39,14,1767650040.539224
40,13,1767650043.046884
41,11,1767650045.553035
42,10,1767650047.886091
43,11,1767650050.440557
44,11,1767650052.697661
45,10,1767650055.206658
46,11,1767650057.58998
47,11,1767650060.183269
48,13,1767650062.907563
49,11,1767650065.237358
50,11,1767650067.620737
0,1979,1767649939.894994
