rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767651005.060443,91.9,True,,100,100,67.6,100,71.8,179.8,108.00000000000001
2,1767651007.995476,93.1,True,,100,100,72.4,100,75.0,177.0,102.0
3,1767651010.891485,,,,75.0,100,74.1,100,72.3,180.0,107.7
4,1767651013.637134,92.5,True,,100,100,70.0,100,69.7,179.5,109.8
5,1767651016.462064,93.95,True,,100,100,75.8,100,69.5,176.5,107.0
6,1767651019.288388,93.2,True,,100,100,72.8,100,67.5,177.0,109.5
7,1767651021.975501,93.575,True,,100,100,74.3,100,69.3,177.5,108.2
8,1767651024.731326,,,,100,40.0,69.3,100,65.4,177.2,111.79999999999998
9,1767651027.417406,93.4,True,,100,100,73.6,100,67.6,178.2,110.6
10,1767651030.146141,92.9,True,,100,100,71.6,100,69.4,179.4,110.0
11,1767651032.865108,93.4,True,,100,100,73.6,100,66.4,177.1,110.69999999999999
12,1767651035.660943,92.375,True,,100,100,69.5,100,64.0,176.8,112.80000000000001
13,1767651038.491951,93.575,True,,100,100,74.3,100,62.4,179.0,116.6
14,1767651041.437313,93.175,True,,100,100,72.7,100,68.5,177.8,109.30000000000001
15,1767651044.349981,94.15,True,,100,100,76.6,100,63.5,176.9,113.4
16,1767651047.311064,94.8,True,,100,100,79.2,100,58.8,177.6,118.8
17,1767651050.162779,,,,100,40.0,71.4,100,58.9,177.8,118.9
18,1767651053.202889,91.975,True,,100,100,67.9,100,57.0,178.7,121.69999999999999
19,1767651056.222735,,,,75.0,100,51.6,100,57.5,176.4,118.9
20,1767651059.127349,92.85,True,,100,100,71.4,100,55.1,179.7,124.6
0,1767651059.129755,,,,,,,,,,
