rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,60.0,70.0,7.7,180.0,172.3
2,,,,51.5,100,60.0,100,1.1,177.8,176.70000000000002
3,,,,52.4,100,60.0,100,1.5,180.0,178.5
4,,,,50.0,100,60.0,70.0,,180.0,
5,,,,56.5,100,60.0,70.0,0.7,180.0,179.3
6,,,,54.8,100,60.0,70.0,3.9,179.9,176.0
7,,,,53.4,100,60.0,100,8.0,180.0,172.0
8,,,,52.7,100,60.0,70.0,1.4,177.2,175.79999999999998
9,,,,50.0,100,60.0,70.0,4.2,176.8,172.60000000000002
10,,,,50.0,100,60.0,70.0,3.1,174.6,171.5
11,,,,50.0,100,60.0,70.0,5.4,178.0,172.6
12,,,,50.5,100,60.0,70.0,1.4,178.4,177.0
13,,,,53.8,100,60.0,70.0,4.8,179.7,174.89999999999998
14,,,,50.0,100,60.0,70.0,3.8,179.2,175.39999999999998
15,,,,54.4,100,60.0,70.0,1.8,179.2,177.39999999999998
16,,,,50.0,100,60.0,70.0,,180.0,
17,,,,52.7,100,60.0,70.0,1.1,180.0,178.9
18,,,,50.0,100,60.0,70.0,2.8,180.0,177.2
0,,,,,,,,,,
