rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767651669.183029,,,,75.0,100,54.4,100,58.3,178.0,119.7
2,1767651672.450977,90.0,True,,100,100,60.0,100,48.0,173.9,125.9
3,1767651675.45363,90.55,True,,100,100,62.2,100,57.8,173.4,115.60000000000001
4,1767651678.393291,90.3,True,,100,100,61.2,100,62.6,174.0,111.4
5,1767651681.264596,90.425,True,,100,100,61.7,100,64.7,172.4,107.7
6,1767651684.434525,,,,100,100,52.9,100,51.1,175.4,124.30000000000001
7,1767651687.48106,92.05,True,,100,100,68.2,100,55.1,174.9,119.80000000000001
8,1767651691.117855,91.9,True,,100,100,67.6,100,59.9,175.1,115.19999999999999
9,1767651694.437547,92.5,True,,100,100,70.0,100,60.4,172.7,112.29999999999998
10,1767651697.693762,90.475,True,,100,100,61.9,100,55.4,174.2,118.79999999999998
11,1767651700.930371,91.45,True,,100,100,65.8,100,52.6,175.9,123.30000000000001
12,1767651704.216927,93.775,True,,100,100,75.1,100,52.4,175.6,123.19999999999999
13,1767651707.329904,93.375,True,,100,100,73.5,100,53.1,175.0,121.9
14,1767651710.108266,92.475,True,,100,100,69.9,100,55.5,174.1,118.6
15,1767651713.162077,92.85,True,,100,100,71.4,100,56.9,173.5,116.6
16,1767651716.365688,90.8,True,,100,100,63.2,100,56.4,177.5,121.1
17,1767651719.784213,91.7,True,,100,100,66.8,100,58.9,176.6,117.69999999999999
18,1767651722.946266,92.575,True,,100,100,70.3,100,57.2,175.8,118.60000000000001
19,1767651726.150005,92.725,True,,100,100,70.9,100,56.8,174.1,117.3
20,1767651729.365316,91.975,True,,100,100,67.9,100,59.8,175.6,115.8
0,1767651729.368799,,,,,,,,,,
