rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,60.0,100,7.2,177.4,170.20000000000002
2,,,,50.0,100,60.0,100,1.0,179.7,178.7
3,,,,50.0,100,60.0,100,2.5,180.0,177.5
4,,,,50.0,100,60.0,100,6.2,179.8,173.60000000000002
5,,,,50.0,100,60.0,100,6.9,180.0,173.1
6,,,,50.0,100,74.5,100,9.6,179.9,170.3
7,,,,50.0,100,74.8,100,9.4,176.7,167.29999999999998
8,,,,50.0,100,74.9,100,8.1,177.4,169.3
9,,,,50.0,100,74.5,100,7.0,176.2,169.2
10,,,,50.0,100,74.8,100,9.0,177.9,168.9
11,,,,50.0,100,74.0,100,10.1,179.7,169.6
12,,,,50.0,100,74.0,100,8.0,175.9,167.9
13,,,,50.0,100,74.2,100,2.0,178.0,176.0
14,,,,50.0,100,73.9,100,0.1,179.7,179.6
15,,,,50.0,100,73.7,100,1.2,180.0,178.8
