rep_number,num_samples,timestamp
1,13,1767366226.19701
2,0,1767366226.755138
3,0,1767366227.369011
4,13,1767366228.243081
5,14,1767366229.837574
6,10,1767366231.342512
7,12,1767366232.816134
8,13,1767366234.389623
9,12,1767366235.955921
10,13,1767366237.547175
11,13,1767366239.11866
12,13,1767366240.67841
13,13,1767366242.290817
14,13,1767366243.912727
15,12,1767366245.470735
16,12,1767366247.048619
17,13,1767366248.705639
18,13,1767366250.31869
19,14,1767366252.097392
20,12,1767366253.602004
21,13,1767366255.238738
22,14,1767366256.926521
23,12,1767366258.449487
24,14,1767366260.055275
25,14,1767366261.684162
26,13,1767366263.326043
27,13,1767366264.909503
28,11,1767366266.443106
29,12,1767366268.128969
30,13,1767366269.724303
31,12,1767366271.337965
32,11,1767366272.928561
33,13,1767366274.488143
34,13,1767366275.98435
35,12,1767366277.579253
36,13,1767366279.200307
37,13,1767366280.859675
38,13,1767366282.516781
39,14,1767366284.205581
40,15,1767366285.872513
41,13,1767366287.551848
42,13,1767366289.225039
43,13,1767366290.823712
44,11,1767366292.455494
45,13,1767366294.198311
46,14,1767366295.81257
47,14,1767366297.408326
48,13,1767366299.123525
49,14,1767366300.779713
50,12,1767366302.390033
51,14,1767366304.022712
52,12,1767366305.613446
53,12,1767366307.250788
54,13,1767366308.848082
55,12,1767366310.418917
56,13,1767366312.001025
57,12,1767366313.593995
58,12,1767366315.118892
59,14,1767366316.754793
60,14,1767366318.401317
61,13,1767366319.968921
62,14,1767366321.625239
63,13,1767366323.251833
64,12,1767366324.929409
65,13,1767366326.566972
66,12,1767366328.158871
67,12,1767366329.722726
68,14,1767366331.304157
69,13,1767366332.917827
70,13,1767366334.515099
71,12,1767366336.172019
72,12,1767366337.753933
73,12,1767366339.347314
74,12,1767366340.930706
75,12,1767366342.508912
76,10,1767366344.013798
77,13,1767366345.60235
78,11,1767366347.164999
79,13,1767366348.834511
80,14,1767366350.512742
81,15,1767366352.210826
82,13,1767366353.935634
83,13,1767366355.604443
84,12,1767366357.308048
85,14,1767366359.053371
86,14,1767366360.713932
87,12,1767366362.374212
88,14,1767366364.115139
89,13,1767366365.794177
90,12,1767366367.528791
91,13,1767366369.230969
92,12,1767366370.922319
93,13,1767366372.618363
94,14,1767366374.412266
95,13,1767366376.256183
96,15,1767366378.041043
97,13,1767366379.734831
98,13,1767366381.397995
99,13,1767366383.203772
100,15,1767366384.940081
0,2638,1767366214.850703
