rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767649663.877855,,,,50.0,100,73.0,100,9.5,174.5,165.0
2,1767649665.598222,,,,50.0,100,73.5,100,9.9,180.0,170.1
3,1767649667.195779,,,,50.0,100,73.4,100,9.0,179.9,170.9
4,1767649668.851841,,,,50.0,100,73.3,100,8.0,180.0,172.0
5,1767649670.480881,,,,50.0,100,74.5,100,8.1,180.0,171.9
6,1767649671.994991,,,,50.0,100,74.3,100,13.1,179.9,166.8
7,1767649673.513984,,,,50.0,100,74.0,100,13.0,180.0,167.0
8,1767649675.110911,,,,50.0,100,74.3,100,11.5,180.0,168.5
9,1767649676.793245,,,,50.0,100,74.2,100,11.1,179.9,168.8
10,1767649678.36201,,,,50.0,100,73.8,100,9.1,180.0,170.9
11,1767649680.011026,,,,50.0,100,74.3,100,6.5,179.9,173.4
12,1767649681.563148,,,,50.0,100,74.4,100,10.5,179.9,169.4
13,1767649683.095718,,,,50.0,100,74.1,100,15.4,180.0,164.6
14,1767649684.713431,,,,50.0,100,74.0,100,14.6,180.0,165.4
15,1767649686.320597,,,,50.0,100,73.8,100,16.5,179.7,163.2
16,1767649688.001592,,,,50.0,100,74.0,100,16.2,180.0,163.8
17,1767649689.692842,,,,50.0,100,74.2,100,13.3,179.9,166.6
18,1767649691.473393,,,,50.0,100,74.6,100,12.9,180.0,167.1
19,1767649693.191539,,,,50.0,100,74.1,100,15.1,180.0,164.9
20,1767649694.921129,,,,50.0,100,74.5,100,10.0,180.0,170.0
21,1767649696.61073,,,,50.0,100,74.1,100,12.7,180.0,167.3
22,1767649698.256568,,,,50.0,100,74.3,100,14.7,180.0,165.3
23,1767649699.946836,,,,50.0,100,74.3,100,14.7,180.0,165.3
24,1767649701.676393,,,,50.0,100,74.5,100,14.0,178.4,164.4
25,1767649703.357933,,,,55.0,100,74.3,100,15.1,179.9,164.8
26,1767649705.099922,,,,50.0,100,74.2,100,14.1,179.9,165.8
27,1767649706.721264,,,,55.0,100,73.3,100,16.0,179.4,163.4
28,1767649708.462911,,,,50.0,100,73.6,100,15.2,180.0,164.8
29,1767649710.076639,,,,50.0,100,74.0,100,6.8,179.9,173.1
30,1767649711.705156,,,,50.0,100,74.2,100,11.9,180.0,168.1
31,1767649713.407152,,,,50.0,100,74.5,100,15.7,180.0,164.3
32,1767649715.121171,,,,50.0,100,73.8,100,14.7,180.0,165.3
33,1767649716.661319,,,,50.0,100,73.8,100,13.7,179.9,166.20000000000002
34,1767649718.219556,,,,50.0,100,74.1,100,13.7,179.9,166.20000000000002
35,1767649719.835598,,,,50.0,100,74.3,100,13.0,180.0,167.0
36,1767649721.456277,,,,50.0,100,73.9,100,14.9,179.9,165.0
37,1767649723.124216,,,,50.0,100,74.0,100,17.0,179.7,162.7
38,1767649724.713198,,,,50.0,100,74.1,100,15.2,179.9,164.70000000000002
39,1767649726.28384,,,,50.0,100,74.3,100,15.5,179.3,163.8
40,1767649727.881085,,,,50.0,100,74.3,100,16.7,180.0,163.3
41,1767649729.44937,,,,50.0,100,74.8,100,14.8,180.0,165.2
42,1767649731.04174,,,,50.0,100,74.0,100,20.2,180.0,159.8
43,1767649732.597719,,,,50.0,100,74.1,100,16.2,179.9,163.70000000000002
44,1767649734.234255,,,,55.0,100,74.3,100,15.8,179.9,164.1
45,1767649735.802065,,,,50.0,100,74.5,100,14.7,180.0,165.3
46,1767649737.404811,,,,55.0,100,75.0,100,14.3,179.8,165.5
47,1767649739.111232,,,,55.0,100,74.8,100,15.6,180.0,164.4
48,1767649740.656942,,,,50.0,100,74.3,100,16.0,179.7,163.7
49,1767649742.286505,,,,50.0,100,74.6,100,14.1,178.4,164.3
50,1767649743.931841,,,,50.0,100,74.4,100,16.2,180.0,163.8
0,1767649743.933641,,,,,,,,,,
