rep_number,num_samples,timestamp
1,200,1767131138.479635
2,109,1767131142.776526
3,112,1767131146.620461
4,111,1767131150.489006
5,194,1767131153.867614
6,177,1767131157.0296562
7,171,1767131167.281549
8,106,1767131170.591957
9,125,1767131173.644484
10,112,1767131176.843574
11,115,1767131180.493779
12,134,1767131183.932777
13,200,1767131198.02882
14,113,1767131201.5998762
15,123,1767131204.760902
16,119,1767131208.2110012
17,132,1767131211.4858508
18,131,1767131215.108415
0,2859,1767131124.9161081
